vehicle_id,vehicle_localmips,total_tasks,total_task_mips,tasks_completed_local,local_failed,tasks_from_others,other_task_mips,others_completed,others_failed,total_execution_time,total_computation_time,simulation_time,trust_factor,z_score,other_total_comp_time
307,2733.26631,1068,790819.8329,265,0,803,594288.7426,787,16,289.3314237,284.7881212,6000,20834.14372,0.201158326,212.8847397
310,1400.104299,314,235023.5362,269,0,45,34683.77499,26,19,167.8614488,157.9393275,6000,492.8036787,13.76873869,14.85015813
313,1193.868292,380,287256.1731,313,0,67,52298.72333,25,42,240.6096008,212.5960295,6000,-1222.103462,7.935582103,15.79253669
316,1797.806593,428,320964.2627,131,0,297,222200.0457,297,0,178.53103,178.53103,6000,12359.50778,0.461766655,123.5950778
319,1333.797887,322,243113.6927,139,0,183,137793.9103,183,0,182.2717633,182.2717633,6000,10330.94382,0.953057225,103.3094382
322,2440.970433,579,436442.9418,131,0,448,337905.3984,437,11,178.7989465,175.4885264,6000,13180.99223,0.541185581,135.1203424
325,3447.461376,894,677974.0973,198,0,696,528866.9688,696,0,196.6589393,196.6589393,6000,15340.7656,0.172122291,153.407656
328,1628.776322,625,477577.8612,98,0,527,404116.6347,379,148,293.2126744,226.1973841,6000,11407.99976,1.838852914,181.0952878
331,1329.966059,520,387731.875,110,0,410,307362.8936,308,102,291.5351653,234.4870594,6000,11700.96059,2.535870263,174.0577118
334,3346.262682,1096,814734.7644,386,0,710,527816.9045,710,0,243.4760333,243.4760333,6000,15773.32549,0.17645047,157.7332549
337,2007.569599,490,360449.8399,123,0,367,271148.1386,340,27,179.5453767,169.6154413,6000,11520.30127,0.405845892,125.132948
340,3174.263489,742,560500.1248,343,0,399,300090.9741,399,0,176.5764332,176.5764332,6000,9453.877259,0.244046236,94.53877259
343,3096.619735,1039,778826.0717,202,0,837,625505.8362,837,0,251.5084636,251.5084636,6000,20199.63346,0.160983551,201.9963346
346,1198.816188,261,195520.4083,54,0,207,156352.2427,175,32,163.094568,143.1822232,6000,9059.75087,3.703788564,110.5098535
349,1381.59911,440,323835.6577,98,0,342,251675.1194,208,134,234.3919124,162.100904,6000,3758.017298,2.920724755,109.8711814
352,2532.127194,817,619340.9488,171,0,646,488851.3906,624,22,244.593143,238.1499868,6000,18017.32589,0.494191221,186.6164151
355,3163.486354,584,442161.6636,261,0,323,242173.7033,323,0,139.7703717,139.7703717,6000,7655.2789,0.271603903,76.552789
358,2653.102568,809,610934.73,113,0,696,525895.3562,687,9,230.2718098,227.7481232,6000,19317.16336,0.326232837,195.6953202
361,1282.332789,278,211365.6393,123,0,155,119259.1845,113,42,164.8290062,140.6561795,6000,4465.608952,4.850190477,68.82891624
364,3097.484679,951,703496.1285,119,0,832,618056.9652,827,5,227.1185175,225.8151921,6000,19692.84652,0.230610264,198.2317907
367,1279.641137,300,226081.3882,48,0,252,188353.2137,218,34,176.6756176,155.9827598,6000,10580.64998,2.586064842,126.4993575
